yearID,sourceTypeID,salesGrowthFactor,sourceTypePopulation,migrationrate
1990,11,0,3657632,1
1990,21,0,143549627,1
1990,31,0,35233652,1
1990,32,0,3330743,1
1990,41,0,172025,1
1990,42,0,48151,1
1990,43,0,318050,1
1990,51,0,57229,1
1990,52,0,3300770,1
1990,53,0,145578,1
1990,54,0,795855,1
1990,61,0,1010435,1
1990,62,0,604587,1
1999,11,0,4032581,1
1999,21,0,132432044,1
1999,31,0,67831975,1
1999,32,0,6412359,1
1999,41,0,226133,1
1999,42,0,63296,1
1999,43,0,418087,1
1999,51,0,102180,1
1999,52,0,5229900,1
1999,53,0,230661,1
1999,54,0,1041260,1
1999,61,0,1320899,1
1999,62,0,978569,1
2000,11,0,4346068,1
2000,21,0,133621420,1
2000,31,0,71372854,1
2000,32,0,6747089,1
2000,41,0,238473,1
2000,42,0,66750,1
2000,43,0,440902,1
2000,51,0,98708,1
2000,52,0,5225066,1
2000,53,0,230448,1
2000,54,0,1023540,1
2000,61,0,1387368,1
2000,62,0,1022554,1
2001,11,0,4903056,1
2001,21,0,137633467,1
2001,31,0,75468041,1
2001,32,0,7134220,1
2001,41,0,239567,1
2001,42,0,67056,1
2001,43,0,442925,1
2001,51,0,101383,1
2001,52,0,5555547,1
2001,53,0,245023,1
2001,54,0,1070569,1
2001,61,0,1425354,1
2001,62,0,1045174,1
2002,11,0,5004156,1
2002,21,0,135920677,1
2002,31,0,76343163,1
2002,32,0,7216948,1
2002,41,0,243137,1
2002,42,0,68055,1
2002,43,0,449525,1
2002,51,0,98025,1
2002,52,0,5566262,1
2002,53,0,245496,1
2002,54,0,1054998,1
2002,61,0,1395588,1
2002,62,0,1018105,1
2003,11,0,5370035,1
2003,21,0,135669897,1
2003,31,0,78109534,1
2003,32,0,7383928,1
2003,41,0,237582,1
2003,42,0,68604,1
2003,43,0,470364,1
2003,51,0,96029,1
2003,52,0,5656706,1
2003,53,0,249485,1
2003,54,0,1054327,1
2003,61,0,1386937,1
2003,62,0,1006605,1
2004,11,0,5780870,1
2004,21,0,136430651,1
2004,31,0,82631649,1
2004,32,0,7811417,1
2004,41,0,256107,1
2004,42,0,68796,1
2004,43,0,470371,1
2004,51,0,94274,1
2004,52,0,5767659,1
2004,53,0,254378,1
2004,54,0,1056953,1
2004,61,0,1393895,1
2004,62,0,1006464,1
2005,11,0,6227146,1
2005,21,0,136568083,1
2005,31,0,85821437,1
2005,32,0,8112957,1
2005,41,0,264495,1
2005,42,0,69514,1
2005,43,0,473044,1
2005,51,0,94076,1
2005,52,0,5985115,1
2005,53,0,263969,1
2005,54,0,1078182,1
2005,61,0,1433416,1
2005,62,0,1029685,1
2006,11,0,6678958,1
2006,21,0,135399945,1
2006,31,0,89179459,1
2006,32,0,8430401,1
2006,41,0,274929,1
2006,42,0,70232,1
2006,43,0,476798,1
2006,51,0,94704,1
2006,52,0,6273755,1
2006,53,0,276699,1
2006,54,0,1110776,1
2006,61,0,1503506,1
2006,62,0,1074482,1
2007,11,0,7138476,1
2007,21,0,135932930,1
2007,31,0,91130392,1
2007,32,0,8614829,1
2007,41,0,266607,1
2007,42,0,82378,1
2007,43,0,485451,1
2007,51,0,95326,1
2007,52,0,6585230,1
2007,53,0,290437,1
2007,54,0,1145679,1
2007,61,0,1540261,1
2007,62,0,1095086,1
2008,11,0,7752926,1
2008,21,0,137079843,1
2008,31,0,90786036,1
2008,32,0,8582276,1
2008,41,0,270188,1
2008,42,0,84739,1
2008,43,0,488381,1
2008,51,0,93477,1
2008,52,0,6744360,1
2008,53,0,297455,1
2008,54,0,1152754,1
2008,61,0,1514209,1
2008,62,0,1071021,1
2009,11,0,7929724,1
2009,21,0,134879600,1
2009,31,0,90986822,1
2009,32,0,8601256,1
2009,41,0,293181,1
2009,42,0,86756,1
2009,43,0,462056,1
2009,51,0,90350,1
2009,52,0,6819992,1
2009,53,0,300791,1
2009,54,0,1144963,1
2009,61,0,1536166,1
2009,62,0,1080952,1
2010,11,0,8009503,1
2010,21,0,130892240,1
2010,31,0,90954042,1
2010,32,0,8598158,1
2010,41,0,284828,1
2010,42,0,89097,1
2010,43,0,472126,1
2010,51,0,85019,1
2010,52,0,6726539,1
2010,53,0,296669,1
2010,54,0,1108962,1
2010,61,0,1501651,1
2010,62,0,1051214,1
2011,11,0,8437502,1
2011,21,0,125656528,1
2011,31,0,98841145,1
2011,32,0,9343749,1
2011,41,0,291480,1
2011,42,0,88076,1
2011,43,0,472661,1
2011,51,0,77257,1
2011,52,0,6419582,1
2011,53,0,283131,1
2011,54,0,1039085,1
2011,61,0,1445179,1
2011,62,0,1006459,1
2012,11,0,8454939,1
2012,21,0,111289906,1
2012,31,0,111893065,1
2012,32,0,10577586,1
2012,41,0,298491,1
2012,42,0,91912,1
2012,43,0,467980,1
2012,51,0,77108,1
2012,52,0,6744224,1
2012,53,0,297449,1
2012,54,0,1071506,1
2012,61,0,1458563,1
2012,62,0,1010530,1
2013,11,0,8404687,1
2013,21,0,113676345,1
2013,31,0,111768111,1
2013,32,0,10565774,1
2013,41,0,297426,1
2013,42,0,94222,1
2013,43,0,472901,1
2013,51,0,72716,1
2013,52,0,6710991,1
2013,53,0,295983,1
2013,54,0,1046316,1
2013,61,0,1462992,1
2013,62,0,1008356,1
2014,11,0,8417718,1
2014,21,0,113898845,1
2014,31,0,115351838,1
2014,32,0,10904554,1
2014,41,0,289926,1
2014,42,0,98060,1
2014,43,0,484041,1
2014,51,0,70649,1
2014,52,0,6898626,1
2014,53,0,304259,1
2014,54,0,1055224,1
2014,61,0,1528882,1
2014,62,0,1048315,1
2015,11,0,8600936,1
2015,21,0,112864228,1
2015,31,0,118820506,1
2015,32,0,11232458,1
2015,41,0,300197,1
2015,42,0,103669,1
2015,43,0,485041,1
2015,51,0,67791,1
2015,52,0,7024767,1
2015,53,0,309822,1
2015,54,0,1053921,1
2015,61,0,1632988,1
2015,62,0,1113894,1
2016,11,0,8679380,1
2016,21,0,112961266,1
2016,31,0,123051307,1
2016,32,0,11632408,1
2016,41,0,316227,1
2016,42,0,106871,1
2016,43,0,474194,1
2016,51,0,66042,1
2016,52,0,7287056,1
2016,53,0,321390,1
2016,54,0,1072030,1
2016,61,0,1639505,1
2016,62,0,1112538,1
2017,11,0,8715204,1
2017,21,0,111177029,1
2017,31,0,127338527,1
2017,32,0,12037692,1
2017,41,0,326102,1
2017,42,0,108115,1
2017,43,0,471461,1
2017,51,0,66149,1
2017,52,0,7801640,1
2017,53,0,344086,1
2017,54,0,1125123,1
2017,61,0,1726637,1
2017,62,0,1165581,1
2018,11,0,8666185,1
2018,21,0,108570167,1
2018,31,0,129863323,1
2018,32,0,12276368,1
2018,41,0,331268,1
2018,42,0,106645,1
2018,43,0,476150,1
2018,51,0,68357,1
2018,52,0,8654635,1
2018,53,0,381706,1
2018,54,0,1223201,1
2018,61,0,1738513,1
2018,62,0,1167498,1
2019,11,0,8596314,1
2019,21,0,108547710,1
2019,31,0,132720051,1
2019,32,0,12546423,1
2019,41,0,334921,1
2019,42,0,107660,1
2019,43,0,479867,1
2019,51,0,62514,1
2019,52,0,8538930,1
2019,53,0,376603,1
2019,54,0,1182386,1
2019,61,0,1753665,1
2019,62,0,1171545,1
2020,11,0,8347435,1
2020,21,0,105135300,1
2020,31,0,135714463,1
2020,32,0,12829494,1
2020,41,0,340474,1
2020,42,0,107199,1
2020,43,0,483161,1
2020,51,0,56346,1
2020,52,0,8351145,1
2020,53,0,368321,1
2020,54,0,1132597,1
2020,61,0,1796832,1
2020,62,0,1194130,1
2021,11,0,9892706,1
2021,21,0,102973881,1
2021,31,0,141340004,1
2021,32,0,13361293,1
2021,41,0,346155,1
2021,42,0,106610,1
2021,43,0,486454,1
2021,51,0,60937,1
2021,52,0,9031555,1
2021,53,0,398330,1
2021,54,0,1224875,1
2021,61,0,1888460,1
2021,62,0,1255024,1
2022,11,0,9960980,1
2022,21,0,100879903,1
2022,31,0,145568230,1
2022,32,0,13761000,1
2022,41,0,355038,1
2022,42,0,109346,1
2022,43,0,498937,1
2022,51,0,62881,1
2022,52,0,9319612,1
2022,53,0,411035,1
2022,54,0,1263942,1
2022,61,0,1918981,1
2022,62,0,1275308,1
2023,11,0,9980784,1
2023,21,0,98864871,1
2023,31,0,148495717,1
2023,32,0,14037744,1
2023,41,0,363032,1
2023,42,0,111808,1
2023,43,0,510171,1
2023,51,0,64581,1
2023,52,0,9571615,1
2023,53,0,422149,1
2023,54,0,1298119,1
2023,61,0,1948531,1
2023,62,0,1294946,1
2024,11,0,10020715,1
2024,21,0,96976695,1
2024,31,0,151808977,1
2024,32,0,14350956,1
2024,41,0,371449,1
2024,42,0,114400,1
2024,43,0,522000,1
2024,51,0,66401,1
2024,52,0,9841381,1
2024,53,0,434047,1
2024,54,0,1334705,1
2024,61,0,1978215,1
2024,62,0,1314673,1
2025,11,0,10068231,1
2025,21,0,95019911,1
2025,31,0,155406263,1
2025,32,0,14691019,1
2025,41,0,380201,1
2025,42,0,117096,1
2025,43,0,534299,1
2025,51,0,68309,1
2025,52,0,10124111,1
2025,53,0,446516,1
2025,54,0,1373049,1
2025,61,0,2008353,1
2025,62,0,1334702,1
2026,11,0,10118077,1
2026,21,0,93044514,1
2026,31,0,159087837,1
2026,32,0,15039049,1
2026,41,0,389222,1
2026,42,0,119874,1
2026,43,0,546976,1
2026,51,0,70263,1
2026,52,0,10413770,1
2026,53,0,459292,1
2026,54,0,1412333,1
2026,61,0,2039990,1
2026,62,0,1355727,1
2027,11,0,10163889,1
2027,21,0,91023562,1
2027,31,0,162716059,1
2027,32,0,15382035,1
2027,41,0,398448,1
2027,42,0,122715,1
2027,43,0,559941,1
2027,51,0,72244,1
2027,52,0,10707410,1
2027,53,0,472242,1
2027,54,0,1452157,1
2027,61,0,2073182,1
2027,62,0,1377786,1
2028,11,0,10202610,1
2028,21,0,88929876,1
2028,31,0,166241760,1
2028,32,0,15715330,1
2028,41,0,407504,1
2028,42,0,125504,1
2028,43,0,572668,1
2028,51,0,74200,1
2028,52,0,10997330,1
2028,53,0,485029,1
2028,54,0,1491477,1
2028,61,0,2105221,1
2028,62,0,1399078,1
2029,11,0,10241184,1
2029,21,0,86849273,1
2029,31,0,169747957,1
2029,32,0,16046782,1
2029,41,0,415952,1
2029,42,0,128106,1
2029,43,0,584540,1
2029,51,0,76081,1
2029,52,0,11276029,1
2029,53,0,497321,1
2029,54,0,1529274,1
2029,61,0,2132446,1
2029,62,0,1417171,1
2030,11,0,10274461,1
2030,21,0,84768348,1
2030,31,0,173113252,1
2030,32,0,16364913,1
2030,41,0,423875,1
2030,42,0,130547,1
2030,43,0,595675,1
2030,51,0,77899,1
2030,52,0,11545483,1
2030,53,0,509205,1
2030,54,0,1565818,1
2030,61,0,2155360,1
2030,62,0,1432399,1
2031,11,0,10302337,1
2031,21,0,82703488,1
2031,31,0,176315354,1
2031,32,0,16667617,1
2031,41,0,431222,1
2031,42,0,132809,1
2031,43,0,605999,1
2031,51,0,79616,1
2031,52,0,11800003,1
2031,53,0,520430,1
2031,54,0,1600337,1
2031,61,0,2175085,1
2031,62,0,1445508,1
2032,11,0,10326938,1
2032,21,0,80701901,1
2032,31,0,179354785,1
2032,32,0,16954944,1
2032,41,0,438391,1
2032,42,0,135017,1
2032,43,0,616074,1
2032,51,0,81330,1
2032,52,0,12054102,1
2032,53,0,531637,1
2032,54,0,1634798,1
2032,61,0,2192492,1
2032,62,0,1457076,1
2033,11,0,10347718,1
2033,21,0,78770062,1
2033,31,0,182209219,1
2033,32,0,17224782,1
2033,41,0,444914,1
2033,42,0,137026,1
2033,43,0,625240,1
2033,51,0,82916,1
2033,52,0,12289045,1
2033,53,0,541999,1
2033,54,0,1666661,1
2033,61,0,2207104,1
2033,62,0,1466787,1
2034,11,0,10365945,1
2034,21,0,76944360,1
2034,31,0,184869219,1
2034,32,0,17476240,1
2034,41,0,450953,1
2034,42,0,138886,1
2034,43,0,633727,1
2034,51,0,84443,1
2034,52,0,12515385,1
2034,53,0,551982,1
2034,54,0,1697358,1
2034,61,0,2217774,1
2034,62,0,1473878,1
2035,11,0,10387180,1
2035,21,0,75271063,1
2035,31,0,187427971,1
2035,32,0,17718126,1
2035,41,0,457036,1
2035,42,0,140760,1
2035,43,0,642277,1
2035,51,0,85970,1
2035,52,0,12741715,1
2035,53,0,561964,1
2035,54,0,1728053,1
2035,61,0,2229076,1
2035,62,0,1481389,1
2036,11,0,10414307,1
2036,21,0,73806497,1
2036,31,0,189895322,1
2036,32,0,17951372,1
2036,41,0,463417,1
2036,42,0,142725,1
2036,43,0,651243,1
2036,51,0,87540,1
2036,52,0,12974404,1
2036,53,0,572226,1
2036,54,0,1759611,1
2036,61,0,2242438,1
2036,62,0,1490269,1
2037,11,0,10446868,1
2037,21,0,72549531,1
2037,31,0,192260465,1
2037,32,0,18174956,1
2037,41,0,469912,1
2037,42,0,144725,1
2037,43,0,660371,1
2037,51,0,89138,1
2037,52,0,13211315,1
2037,53,0,582675,1
2037,54,0,1791741,1
2037,61,0,2256034,1
2037,62,0,1499304,1
2038,11,0,10486428,1
2038,21,0,71507929,1
2038,31,0,194555849,1
2038,32,0,18391946,1
2038,41,0,476380,1
2038,42,0,146717,1
2038,43,0,669460,1
2038,51,0,90740,1
2038,52,0,13448712,1
2038,53,0,593145,1
2038,54,0,1823937,1
2038,61,0,2269095,1
2038,62,0,1507985,1
2039,11,0,10532381,1
2039,21,0,70655368,1
2039,31,0,196796636,1
2039,32,0,18603774,1
2039,41,0,482531,1
2039,42,0,148612,1
2039,43,0,678104,1
2039,51,0,92319,1
2039,52,0,13682721,1
2039,53,0,603466,1
2039,54,0,1855674,1
2039,61,0,2278841,1
2039,62,0,1514462,1
2040,11,0,10585589,1
2040,21,0,69980785,1
2040,31,0,199019056,1
2040,32,0,18813866,1
2040,41,0,488362,1
2040,42,0,150407,1
2040,43,0,686299,1
2040,51,0,93854,1
2040,52,0,13910230,1
2040,53,0,613500,1
2040,54,0,1886529,1
2040,61,0,2286244,1
2040,62,0,1519381,1
2041,11,0,10641874,1
2041,21,0,69428865,1
2041,31,0,201177470,1
2041,32,0,19017908,1
2041,41,0,493995,1
2041,42,0,152142,1
2041,43,0,694215,1
2041,51,0,95418,1
2041,52,0,14142009,1
2041,53,0,623723,1
2041,54,0,1917964,1
2041,61,0,2289512,1
2041,62,0,1521553,1
2042,11,0,10701018,1
2042,21,0,68980482,1
2042,31,0,203288861,1
2042,32,0,19217504,1
2042,41,0,499891,1
2042,42,0,153958,1
2042,43,0,702500,1
2042,51,0,96978,1
2042,52,0,14373263,1
2042,53,0,633922,1
2042,54,0,1949327,1
2042,61,0,2296598,1
2042,62,0,1526262,1
2043,11,0,10761830,1
2043,21,0,68587840,1
2043,31,0,205378385,1
2043,32,0,19415033,1
2043,41,0,506440,1
2043,42,0,155975,1
2043,43,0,711703,1
2043,51,0,98681,1
2043,52,0,14625625,1
2043,53,0,645052,1
2043,54,0,1983552,1
2043,61,0,2305931,1
2043,62,0,1532465,1
2044,11,0,10824308,1
2044,21,0,68253422,1
2044,31,0,207443011,1
2044,32,0,19610208,1
2044,41,0,513482,1
2044,42,0,158144,1
2044,43,0,721600,1
2044,51,0,100486,1
2044,52,0,14893131,1
2044,53,0,656850,1
2044,54,0,2019832,1
2044,61,0,2317229,1
2044,62,0,1539973,1
2045,11,0,10888569,1
2045,21,0,67967034,1
2045,31,0,209498009,1
2045,32,0,19804473,1
2045,41,0,520345,1
2045,42,0,160258,1
2045,43,0,731244,1
2045,51,0,102251,1
2045,52,0,15154826,1
2045,53,0,668392,1
2045,54,0,2055323,1
2045,61,0,2327904,1
2045,62,0,1547067,1
2046,11,0,10954013,1
2046,21,0,67765663,1
2046,31,0,211483323,1
2046,32,0,19992151,1
2046,41,0,526737,1
2046,42,0,162226,1
2046,43,0,740227,1
2046,51,0,103950,1
2046,52,0,15406596,1
2046,53,0,679496,1
2046,54,0,2089469,1
2046,61,0,2335249,1
2046,62,0,1551949,1
2047,11,0,11019269,1
2047,21,0,67572902,1
2047,31,0,213453366,1
2047,32,0,20178385,1
2047,41,0,533008,1
2047,42,0,164158,1
2047,43,0,749040,1
2047,51,0,105664,1
2047,52,0,15660640,1
2047,53,0,690701,1
2047,54,0,2123923,1
2047,61,0,2340185,1
2047,62,0,1555230,1
2048,11,0,11083706,1
2048,21,0,67405457,1
2048,31,0,215371446,1
2048,32,0,20359706,1
2048,41,0,539141,1
2048,42,0,166046,1
2048,43,0,757658,1
2048,51,0,107373,1
2048,52,0,15913938,1
2048,53,0,701872,1
2048,54,0,2158276,1
2048,61,0,2343428,1
2048,62,0,1557385,1
2049,11,0,11148959,1
2049,21,0,67255915,1
2049,31,0,217289944,1
2049,32,0,20541068,1
2049,41,0,544712,1
2049,42,0,167762,1
2049,43,0,765487,1
2049,51,0,108989,1
2049,52,0,16153368,1
2049,53,0,712432,1
2049,54,0,2190748,1
2049,61,0,2343352,1
2049,62,0,1557334,1
2050,11,0,11217514,1
2050,21,0,67150524,1
2050,31,0,219243961,1
2050,32,0,20725787,1
2050,41,0,549881,1
2050,42,0,169354,1
2050,43,0,772752,1
2050,51,0,110555,1
2050,52,0,16385455,1
2050,53,0,722668,1
2050,54,0,2222224,1
2050,61,0,2340070,1
2050,62,0,1555153,1
2051,11,0,11286490,1
2051,21,0,67045298,1
2051,31,0,221215550,1
2051,32,0,20912167,1
2051,41,0,555100,1
2051,42,0,170962,1
2051,43,0,780085,1
2051,51,0,112143,1
2051,52,0,16620877,1
2051,53,0,733051,1
2051,54,0,2254152,1
2051,61,0,2336793,1
2051,62,0,1552975,1
2052,11,0,11355891,1
2052,21,0,66940237,1
2052,31,0,223204868,1
2052,32,0,21100223,1
2052,41,0,560368,1
2052,42,0,172584,1
2052,43,0,787489,1
2052,51,0,113754,1
2052,52,0,16859681,1
2052,53,0,743584,1
2052,54,0,2286539,1
2052,61,0,2333520,1
2052,62,0,1550800,1
2053,11,0,11425718,1
2053,21,0,66835341,1
2053,31,0,225212076,1
2053,32,0,21289971,1
2053,41,0,565686,1
2053,42,0,174222,1
2053,43,0,794962,1
2053,51,0,115389,1
2053,52,0,17101916,1
2053,53,0,754267,1
2053,54,0,2319391,1
2053,61,0,2330252,1
2053,62,0,1548628,1
2054,11,0,11495975,1
2054,21,0,66730609,1
2054,31,0,227237334,1
2054,32,0,21481424,1
2054,41,0,571054,1
2054,42,0,175875,1
2054,43,0,802506,1
2054,51,0,117047,1
2054,52,0,17347632,1
2054,53,0,765104,1
2054,54,0,2352716,1
2054,61,0,2326988,1
2054,62,0,1546459,1
2055,11,0,11566664,1
2055,21,0,66626041,1
2055,31,0,229280804,1
2055,32,0,21674600,1
2055,41,0,576474,1
2055,42,0,177544,1
2055,43,0,810122,1
2055,51,0,118728,1
2055,52,0,17596878,1
2055,53,0,776097,1
2055,54,0,2386519,1
2055,61,0,2323729,1
2055,62,0,1544293,1
2056,11,0,11637787,1
2056,21,0,66521637,1
2056,31,0,231342651,1
2056,32,0,21869512,1
2056,41,0,581944,1
2056,42,0,179229,1
2056,43,0,817810,1
2056,51,0,120434,1
2056,52,0,17849705,1
2056,53,0,787248,1
2056,54,0,2420808,1
2056,61,0,2320475,1
2056,62,0,1542130,1
2057,11,0,11709348,1
2057,21,0,66417397,1
2057,31,0,233423039,1
2057,32,0,22066177,1
2057,41,0,587467,1
2057,42,0,180930,1
2057,43,0,825572,1
2057,51,0,122164,1
2057,52,0,18106164,1
2057,53,0,798559,1
2057,54,0,2455589,1
2057,61,0,2317225,1
2057,62,0,1539971,1
2058,11,0,11781349,1
2058,21,0,66313320,1
2058,31,0,235522135,1
2058,32,0,22264611,1
2058,41,0,593042,1
2058,42,0,182647,1
2058,43,0,833406,1
2058,51,0,123920,1
2058,52,0,18366309,1
2058,53,0,810032,1
2058,54,0,2490870,1
2058,61,0,2313979,1
2058,62,0,1537814,1
2059,11,0,11853792,1
2059,21,0,66209406,1
2059,31,0,237640108,1
2059,32,0,22464830,1
2059,41,0,598670,1
2059,42,0,184381,1
2059,43,0,841315,1
2059,51,0,125700,1
2059,52,0,18630190,1
2059,53,0,821671,1
2059,54,0,2526658,1
2059,61,0,2310739,1
2059,62,0,1535660,1
2060,11,0,11926681,1
2060,21,0,66105655,1
2060,31,0,239777127,1
2060,32,0,22666848,1
2060,41,0,604352,1
2060,42,0,186130,1
2060,43,0,849300,1
2060,51,0,127506,1
2060,52,0,18897864,1
2060,53,0,833476,1
2060,54,0,2562961,1
2060,61,0,2307502,1
2060,62,0,1533509,1
