monthID,zoneID,hourID,temperature,relHumidity
1,360850,1,29,69
1,360850,2,28,69
1,360850,3,28,71
1,360850,4,28,73
1,360850,5,27,73
1,360850,6,27,75
1,360850,7,25,74
1,360850,8,26,73
1,360850,9,29,73
1,360850,10,29,70
1,360850,11,31,66
1,360850,12,32,63
1,360850,13,33,60
1,360850,14,33,54
1,360850,15,34,56
1,360850,16,33,54
1,360850,17,32,56
1,360850,18,31,58
1,360850,19,30,60
1,360850,20,30,63
1,360850,21,30,68
1,360850,22,29,67
1,360850,23,29,66
1,360850,24,27,65
2,360850,1,34,68
2,360850,2,34,68
2,360850,3,32,70
2,360850,4,33,75
2,360850,5,32,74
2,360850,6,32,74
2,360850,7,34,76
2,360850,8,32,74
2,360850,9,34,74
2,360850,10,35,69
2,360850,11,39,59
2,360850,12,39,62
2,360850,13,41,58
2,360850,14,41,54
2,360850,15,41,57
2,360850,16,41,59
2,360850,17,41,52
2,360850,18,39,59
2,360850,19,40,59
2,360850,20,38,56
2,360850,21,37,63
2,360850,22,36,61
2,360850,23,36,62
2,360850,24,34,65
3,360850,1,43,64
3,360850,2,42,63
3,360850,3,42,65
3,360850,4,41,67
3,360850,5,41,67
3,360850,6,41,70
3,360850,7,41,68
3,360850,8,41,65
3,360850,9,44,64
3,360850,10,46,62
3,360850,11,48,57
3,360850,12,48,55
3,360850,13,50,50
3,360850,14,50,47
3,360850,15,51,47
3,360850,16,47,48
3,360850,17,46,51
3,360850,18,46,51
3,360850,19,46,56
3,360850,20,47,54
3,360850,21,46,57
3,360850,22,47,62
3,360850,23,45,60
3,360850,24,44,60
4,360850,1,50,63
4,360850,2,49,63
4,360850,3,48,63
4,360850,4,48,64
4,360850,5,47,64
4,360850,6,48,62
4,360850,7,49,59
4,360850,8,51,55
4,360850,9,54,47
4,360850,10,55,46
4,360850,11,56,47
4,360850,12,57,41
4,360850,13,58,41
4,360850,14,60,38
4,360850,15,60,40
4,360850,16,59,40
4,360850,17,58,46
4,360850,18,58,47
4,360850,19,54,53
4,360850,20,54,51
4,360850,21,52,57
4,360850,22,51,56
4,360850,23,51,62
4,360850,24,50,60
5,360850,1,61,71
5,360850,2,60,70
5,360850,3,60,74
5,360850,4,60,75
5,360850,5,60,77
5,360850,6,60,74
5,360850,7,62,72
5,360850,8,63,69
5,360850,9,66,65
5,360850,10,67,62
5,360850,11,70,58
5,360850,12,71,60
5,360850,13,70,57
5,360850,14,71,54
5,360850,15,71,54
5,360850,16,70,60
5,360850,17,70,60
5,360850,18,69,60
5,360850,19,68,60
5,360850,20,68,61
5,360850,21,65,68
5,360850,22,64,66
5,360850,23,63,69
5,360850,24,63,69
6,360850,1,70,66
6,360850,2,69,67
6,360850,3,68,68
6,360850,4,68,69
6,360850,5,67,72
6,360850,6,69,70
6,360850,7,71,66
6,360850,8,72,62
6,360850,9,75,56
6,360850,10,77,51
6,360850,11,79,47
6,360850,12,80,48
6,360850,13,80,44
6,360850,14,81,43
6,360850,15,80,46
6,360850,16,80,47
6,360850,17,78,49
6,360850,18,78,49
6,360850,19,77,51
6,360850,20,75,55
6,360850,21,74,59
6,360850,22,73,59
6,360850,23,72,61
6,360850,24,70,65
7,360850,1,78,64
7,360850,2,77,66
7,360850,3,76,70
7,360850,4,75,71
7,360850,5,74,72
7,360850,6,75,72
7,360850,7,78,64
7,360850,8,79,60
7,360850,9,83,52
7,360850,10,85,47
7,360850,11,87,45
7,360850,12,89,42
7,360850,13,89,42
7,360850,14,89,40
7,360850,15,89,41
7,360850,16,88,45
7,360850,17,87,46
7,360850,18,86,49
7,360850,19,85,51
7,360850,20,84,52
7,360850,21,82,57
7,360850,22,81,58
7,360850,23,80,61
7,360850,24,79,64
8,360850,1,75,70
8,360850,2,75,72
8,360850,3,74,74
8,360850,4,73,76
8,360850,5,73,77
8,360850,6,73,78
8,360850,7,76,73
8,360850,8,76,70
8,360850,9,80,60
8,360850,10,83,53
8,360850,11,83,52
8,360850,12,85,47
8,360850,13,86,46
8,360850,14,86,45
8,360850,15,87,45
8,360850,16,85,47
8,360850,17,85,46
8,360850,18,84,50
8,360850,19,82,54
8,360850,20,81,55
8,360850,21,79,62
8,360850,22,79,61
8,360850,23,77,66
8,360850,24,76,68
9,360850,1,66,75
9,360850,2,65,74
9,360850,3,65,78
9,360850,4,64,79
9,360850,5,64,80
9,360850,6,63,79
9,360850,7,65,77
9,360850,8,66,73
9,360850,9,69,64
9,360850,10,72,60
9,360850,11,74,55
9,360850,12,75,51
9,360850,13,76,48
9,360850,14,76,49
9,360850,15,76,48
9,360850,16,76,51
9,360850,17,74,56
9,360850,18,73,57
9,360850,19,72,61
9,360850,20,71,61
9,360850,21,68,69
9,360850,22,68,73
9,360850,23,68,71
9,360850,24,66,72
10,360850,1,53,78
10,360850,2,52,78
10,360850,3,51,80
10,360850,4,51,81
10,360850,5,51,81
10,360850,6,50,82
10,360850,7,51,81
10,360850,8,52,80
10,360850,9,57,72
10,360850,10,59,67
10,360850,11,60,63
10,360850,12,62,61
10,360850,13,62,60
10,360850,14,63,55
10,360850,15,63,57
10,360850,16,62,60
10,360850,17,61,60
10,360850,18,60,65
10,360850,19,59,70
10,360850,20,58,68
10,360850,21,57,70
10,360850,22,55,72
10,360850,23,54,74
10,360850,24,53,78
11,360850,1,48,68
11,360850,2,48,69
11,360850,3,48,72
11,360850,4,47,71
11,360850,5,47,72
11,360850,6,46,73
11,360850,7,48,73
11,360850,8,47,69
11,360850,9,50,64
11,360850,10,52,59
11,360850,11,56,55
11,360850,12,56,54
11,360850,13,58,52
11,360850,14,58,47
11,360850,15,58,48
11,360850,16,57,53
11,360850,17,55,53
11,360850,18,54,56
11,360850,19,53,56
11,360850,20,52,56
11,360850,21,51,61
11,360850,22,50,63
11,360850,23,48,65
11,360850,24,49,66
12,360850,1,37,67
12,360850,2,36,67
12,360850,3,37,68
12,360850,4,38,72
12,360850,5,37,70
12,360850,6,38,71
12,360850,7,36,70
12,360850,8,36,69
12,360850,9,39,67
12,360850,10,40,62
12,360850,11,42,59
12,360850,12,44,57
12,360850,13,44,56
12,360850,14,44,56
12,360850,15,44,63
12,360850,16,42,57
12,360850,17,42,61
12,360850,18,42,63
12,360850,19,40,60
12,360850,20,40,61
12,360850,21,40,66
12,360850,22,39,66
12,360850,23,39,66
12,360850,24,37,68
